Region,Country_code,Name,Sector,Substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Rest Central America,ABW,Aruba,Production of other minerals,CO2,0.00295325,0.0029719,0.00299245,0.00301195,0.00302625,0.00303275,0.00302945,0.0030183,0.0030053,0.0029989,0.0030048,0.00302835,0.0030672,0.0031102,0.00314155,0.0031514,0.0031322,0.00309175,0.00305385,0.0030516,0.0031074,0.00323115,0.00341175,0.0036249,0.003835,0.0040163,0.00415975,0.00427235,0.0043638,0.0044502,0.0045429,0.0046447,0.00474975,0.00485075,0.0049371,0.00500155,0.0050415,0.0050609,0.0050671,0.0050708,0.00507985,0.0050968,0.00511965,0.005113807,0.005142602,0.00517156,0.005189903,0.00520831,0.005226782,0.005249377,0.005270732,0.005292174,0.005313703,0.005334782
Rest Central America,ABW,Aruba,Non-energy use of lubricants/waxes (CO2),CO2,0.007065938,0.008098232,0.012171722,0.027086988,0.033554172,0.056980494,0.074991368,0.090286245,0.101839777,0.119493044,0.132720316,0.134693743,0.163297542,0.225037118,0.20285059,0.293441808,0.246113209,0.325796064,0.250580274,0.341114377,0.323322213,0.447726814,0.459820311,0.514585819,0.581011272,0.490069336,0.35949533,0.528503236,0.575659571,0.600627324,0.344436711,0.367823568,0.335930405,0.38818151,0.394304061,0.635978875,0.706724817,0.726874803,0.677649083,0.902802264,0.849254609,0.376705311,0.948335265,1.091710931,1.162770858,1.211065744,1.264259113,1.168958354,1.124543543,1.342801594,1.153114937,1.240332524,1.235547206,1.23078035
Rest Central America,ABW,Aruba,Solvent and other product use: paint,CO2,0.4101328,0.4138442,0.417615,0.4211768,0.4241754,0.4264062,0.4277218,0.4283268,0.4288108,0.4299746,0.4323594,0.4365042,0.442255,0.448668,0.4543616,0.4585284,0.4603478,0.4605656,0.4616986,0.4672822,0.4796,0.4998312,0.5266162,0.5566506,0.5852044,0.6088742,0.6264346,0.6388954,0.6478956,0.6560422,0.6652316,0.6758708,0.6872404,0.6987266,0.7093658,0.7184892,0.7283705,0.73787285,0.747564675,0.757161763,0.76675885,0.776355938,0.785953025,0.793630695,0.801308365,0.808986035,0.817431472,0.825965075,0.834587766,0.84277918,,,,
Rest Central America,ABW,Aruba,Solvent and other product use: degrease,CO2,0.001279484,0.001287651,0.001296316,0.001305046,0.00131122,0.001314015,0.001312477,0.001307711,0.001302014,0.001299349,0.001301862,0.001312065,0.001328919,0.001347463,0.001361219,0.001365335,0.001357059,0.001339491,0.001323157,0.001322139,0.001346336,0.001399909,0.001478178,0.001570657,0.001661555,0.001740062,0.001802365,0.001851128,0.001890685,0.001928119,0.001968152,0.002012453,0.002057815,0.002101683,0.002138944,0.002166976,0.002184328,0.002192733,0.002195614,0.00219778,0.00220246,0.002210778,0.00222213,0.002235344,0.002248515,0.002260343,0.002270763,0.002280338,0.002289133,0.00229743,0.002305771,0.002317945,0.002317945,0.002339608
Rest Central America,ABW,Aruba,Solvent and other product use: other,CO2,0.09198409,0.0925914,0.0932338,0.09387389,0.09433644,0.09456271,0.09448538,0.09418178,0.09381449,0.0936606,0.09387048,0.09461881,0.09583695,0.09717983,0.09819128,0.09853998,0.09802672,0.09687139,0.09581297,0.09584916,0.09767307,0.10157906,0.10723845,0.11389312,0.120417,0.12603492,0.1304688,0.13391653,0.13669271,0.13931335,0.14212539,0.14524334,0.14844676,0.15155371,0.15420911,0.15622673,0.15755366,0.15828285,0.158650965,0.158793965,0.159102845,0.159651965,0.160401285,0.161273585,0.162143025,0.162923805,0.163681999,0.164384783,0.165036451,0.165649352,0.166255379,0.167114737,0.167170655,0.168661333
India +,AFG,Afghanistan,Public electricity and heat production,CO2,57.19283833,57.19283833,117.373448,175.7015577,207.7340161,211.630209,242.011888,377.2742702,274.9870669,303.0000589,312.2520311,364.7926401,362.8568526,508.9653966,461.2994064,644.9410431,677.2097939,742.3932318,686.6581368,612.1442034,604.9897733,605.3005455,341.6154643,362.0121205,315.0826839,415.8434596,432.0644729,432.4535955,514.7621004,483.1090189,357.509825,314.4700425,292.1709167,334.5654085,297.0083355,427.3812433,474.3073594,639.9262677,1156.684978,1676.813316,2035.857949,2554.604236,2186.778045,1991.118693,2050.54234,2278.14316,2259.179757,2389.258986,2210.091734,2017.945696,1842.561039,1951.86122,2025.311637,2132.017744
India +,AFG,Afghanistan,Other Energy Industries,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.741905,2.07009,1.12455,3.56235,4.870343077,4.479006221,6.181104224,7.804355233,3.711041433,150.1300286,354.2843611,383.5443522,248.7856479,166.6878376,172.1788845,370.5720245,154.1223965,145.0504461,146.4538815
India +,AFG,Afghanistan,Manufacturing Industries and Construction,CO2,101.6659236,101.6659236,94.76341633,96.21980734,105.738665,111.6635762,116.0254687,149.615851,159.0394414,179.9880879,183.1403446,266.9211044,227.6138968,242.3309047,261.445524,424.5530426,435.8671551,461.8905401,387.7335868,345.7912081,745.2012294,704.4059502,419.8347922,390.7034457,432.7892693,359.7338433,328.9743886,305.0414509,290.4315025,285.7586769,245.1017437,185.1108765,279.9186805,214.8365256,167.5849536,244.2451147,267.8652079,635.0539493,1019.815576,1461.697174,1798.801144,3512.467086,2707.572225,2653.30863,2744.176084,2167.421208,2101.394159,2564.00755,2192.465113,2185.3335,2112.477829,2958.838884,3076.93543,3312.479266
India +,AFG,Afghanistan,Domestic aviation,CO2,42.3180023,42.3180023,52.55523094,44.95672055,29.25096997,27.1454157,26.39062355,30.80331408,25.3836605,33.36872979,38.89222863,48.36835123,44.96522842,84.14632204,100.1003235,173.7571179,112.1493351,156.3606951,152.4839254,156.5175948,133.0656872,122.7190864,62.92804372,65.29965685,61.48609392,62.41285045,70.03784755,72.44229152,65.54763924,59.91385485,39.43126862,36.76294682,19.36498602,24.98031601,21.06578114,52.79965874,64.52048062,71.52700828,169.7725544,334.8306119,542.3222999,1083.177824,512.5057598,330.2800685,256.7789862,184.910794,115.3602622,217.7559766,241.6472086,99.36054344,96.99608844,105.9615837,144.6666124,190.5928153
India +,AFG,Afghanistan,Road transportation no resuspension,CO2,193.5826593,193.5826593,204.1232182,199.7971836,206.7886974,231.1697182,212.4421697,230.5232979,254.6030127,269.0871097,271.4406789,315.2044176,321.163375,424.4877865,391.0431412,447.3965786,399.1623995,455.4254883,422.5216465,406.6502733,708.6776398,696.9907883,435.2327267,439.1306046,423.9456886,315.3635612,292.2216556,272.845863,253.1530293,245.9659911,137.5968723,144.4411168,119.7874036,167.961491,142.0100113,227.4639469,306.1356449,335.5484124,936.1106096,1793.761492,2429.701834,2942.21483,2948.973611,1988.837207,1431.505579,1929.055181,1354.175683,1289.261889,1704.474338,1525.990465,1638.318288,1742.067647,1827.012526,1876.464149
